SITE-Yr,Site,year,Community richness,Community density (No/0.1ha) by area,D-upper CI (add value) by area,D-lower CI (subtract value) by area,Community biomass (g/0.1ha) by area,B-upper CI (add value) by area,B-lower CI (subtract value) by area,ST Density (No/0.1 ha) by area,ST D-CI (add value for upper CI) by area,ST D-CI (subtract value for lower CI) by area,ST Biomass (g/0.1 ha) by area,ST B-CI (add value for upper CI) by area,ST B-CI (subtract value for lower CI) by area,First Pass All Species density (No/0.1ha) by area,Community density (No./100 m) by length,D-upper CI (add value) by length,D-lower CI (subtract value) by length,Community biomass (g/100 m) by length,B-upper CI (add value) by length,B-lower CI (subtract value) by length,brook trout Density (No/100m) by length,brook trout D-CI (add value for upper CI) by length,brook trout D-CI (subtract value for lower CI) by length,brook trout Biomass (g/100m) by length,brook trout B-CI (add value for upper CI) by length,brook trout B-CI (subtract value for lower CI) by length,First Pass All Species density (No/100m) by length
Buck-15,Buck,2015,3,92.64,2.81,0,671.53,20.35,0,53.34,2.81,0,605.84,32,0,72.99,33.33,1.01,0,241.62,7.32,0,19.19,1.01,0,217.98,11.52,0,26.26
Buck-16,Buck,2016,4,265.5,10.76,3.59,2057.26,83.4,27.8,150.69,3.59,0,1881.82,44.85,0,197.33,71.15,2.88,0.96,551.35,22.35,7.45,40.38,0.96,0,504.33,12.02,0,52.88
DeerShanty-14,DeerShanty,2014,1,186.17,19.6,4.9,2895.85,304.83,76.21,186.17,19.6,4.9,2895.85,305.7,76.43,117.58,67.86,7.14,1.79,1055.54,111.11,27.78,67.86,7.14,1.79,1055.54,111.43,27.86,42.86
DeerShanty-15,DeerShanty,2015,2,688.5,58.71,53.37,2867.68,244.53,222.3,677.82,53.37,48.03,2804.17,218.83,196.94,400.29,208.06,17.74,16.13,866.61,73.9,67.18,204.84,16.13,14.52,847.42,66.13,59.52,120.97
DeerShanty-16,DeerShanty,2016,2,562.43,46.32,33.08,3473.83,286.08,204.34,529.35,46.32,26.47,3074.84,268.64,153.51,337.46,142.86,11.76,8.4,882.35,72.66,51.9,134.45,11.76,6.72,781.01,68.24,38.99,85.71
DeerShanty-17,DeerShanty,2017,2,703.21,35.88,21.53,4794.06,244.59,146.76,509.47,21.53,7.18,3691.16,154.99,51.66,459.24,188.46,9.62,5.77,1284.81,65.55,39.33,136.54,5.77,1.92,989.23,41.54,13.85,123.08
Durgin-14,Durgin,2014,7,446.42,79.82,79.82,2203.55,394.01,394.01,183.3,252.77,104.95,1401.33,1921.06,797.63,168.51,274.55,49.09,49.09,1355.18,242.32,242.32,112.73,155.45,64.55,861.82,1181.45,490.55,103.64
Durgin-15,Durgin,2015,9,743.37,139.27,139.27,3043.82,570.25,570.25,122.99,23.51,16.28,688.92,131.67,91.16,249.6,370.27,69.37,69.37,1516.13,284.04,284.04,61.26,11.71,8.11,343.15,65.59,45.41,124.32
Durgin-16,Durgin,2016,9,596.31,109.75,109.75,2384.67,438.9,438.9,149.99,36.58,27.44,760.56,186.57,139.93,208.52,296.36,54.55,54.55,1185.18,218.13,218.13,74.55,18.18,13.64,378,92.73,69.55,103.64
Fly-14,Fly,2014,2,556.21,11.83,0,2383.43,50.71,0,224.85,11.83,0,990.53,52.07,0,473.37,94,2,0,402.8,8.57,0,38,2,0,167.4,8.8,0,80
Fly-15,Fly,2015,2,560.88,31.16,10.39,3085.87,171.44,57.15,363.53,31.16,10.39,1705.49,146.45,48.82,363.53,109.09,6.06,2.02,600.2,33.34,11.11,70.71,6.06,2.02,331.72,28.48,9.49,70.71
Fly-16,Fly,2016,2,569.8,31.66,0,3018.36,167.69,0,474.83,31.66,0,2426.4,161.44,0,411.52,92.31,5.13,0,488.97,27.17,0,76.92,5.13,0,393.08,26.15,0,66.67
Moss-14,Moss,2014,5,1061.87,69.25,46.17,3469.53,226.27,150.85,380.89,23.08,0,2040.63,124.65,0,657.89,161.4,10.53,7.02,527.37,34.39,22.93,57.89,3.51,0,310.18,18.95,0,100
Moss-15,Moss,2015,4,342.23,7.13,0,2886.86,60.14,0,206.76,7.13,0,2084.05,72.01,0,263.8,66.67,1.39,0,562.36,11.72,0,40.28,1.39,0,405.97,14.03,0,51.39
Moss-16,Moss,2016,4,575.06,14.94,0,2770.72,71.97,0,306.2,7.47,0,1536.97,37.34,0,470.5,118.46,3.08,0,570.77,14.83,0,63.08,1.54,0,316.62,7.69,0,96.92
NewHill-14,NewHill,2014,3,1478.6,306.54,306.54,4977.1,1031.84,1031.84,46.88,3.61,0,749.58,57.7,0,400.3,1518.52,314.81,314.81,5111.48,1059.7,1059.7,48.15,3.7,0,769.81,59.26,0,411.11
NewHill-15,NewHill,2015,3,2356.02,1185.98,1185.98,8401,4228.92,4228.92,55.79,7.97,3.19,679.87,97.24,38.89,365.04,2239.39,1127.27,1127.27,7985.15,4019.59,4019.59,53.03,7.58,3.03,646.21,92.42,36.97,346.97
NewHill-16,NewHill,2016,5,2065.18,258.85,258.85,4715.83,591.07,591.07,70.76,9.31,3.72,740.6,97.77,39.11,670.39,2218,278,278,5064.8,634.81,634.81,76,10,4,795.4,105,42,720
NewHill-17,NewHill,2017,5,2270.18,184.91,184.91,4185.93,340.95,340.95,45.06,9.32,3.11,564.83,116.54,38.85,786.25,2356.45,191.94,191.94,4345,353.9,353.9,46.77,9.68,3.23,586.29,120.97,40.32,816.13
OasisCreek-14,Oasis,2014,2,1356.42,144.3,144.3,4696.25,499.6,499.6,353.54,50.51,28.86,2450.22,348.48,199.13,685.43,313.33,33.33,33.33,1084.83,115.41,115.41,81.67,11.67,6.67,566,80.5,46,158.33
OasisCreek-15,Oasis,2015,2,1893.94,193.6,193.6,5421.72,554.22,554.22,648.15,75.76,50.51,2612.79,303.03,202.02,959.6,416.67,42.59,42.59,1192.78,121.93,121.93,142.59,16.67,11.11,574.81,66.67,44.44,211.11
OasisCreek-16,Oasis,2016,2,1807.9,104.7,104.7,6084.74,352.4,352.4,439.76,13.96,0,2526.18,79.58,0,1054.03,446.55,25.86,25.86,1502.93,87.04,87.04,108.62,3.45,0,623.97,19.66,0,260.34
OasisCreek-17,Oasis,2017,2,2087.41,138.62,138.62,6254.08,415.31,415.31,603.39,24.46,8.15,3021.04,122.31,40.77,1231.25,457.14,30.36,30.36,1369.64,90.95,90.95,132.14,5.36,1.79,661.61,26.79,8.93,269.64
Seventh-14,Seventh,2014,4,152.14,13.58,5.43,1806.13,161.26,64.5,70.64,5.43,0,1615.41,124.43,0,81.5,65.12,5.81,2.33,773.02,69.02,27.61,30.23,2.33,0,691.4,53.26,0,34.88
Seventh-15,Seventh,2015,3,306.76,12.57,7.54,1323.09,54.23,32.54,70.4,5.03,0,882.06,62.86,0,201.15,139.27,5.71,3.42,600.68,24.62,14.77,31.96,2.28,0,400.46,28.54,0,91.32
Seventh-16,Seventh,2016,4,288.7,15.36,9.21,1209.77,64.35,38.61,141.28,6.14,0,820.64,35.63,0,193.49,106.82,5.68,3.41,447.61,23.81,14.29,52.27,2.27,0,303.64,13.18,0,71.59
Slide Mountain-12,Slide,2012,2,2426.74,76.31,76.31,14059.83,442.13,442.13,1243.89,30.53,22.89,7044.41,173.99,130.49,1617.83,407.69,12.82,12.82,2362.05,74.28,74.28,208.97,5.13,3.85,1183.46,29.23,21.92,271.79
Slide Mountain-13,Slide,2013,2,946.5,127.57,127.57,4465.02,601.81,601.81,374.49,37.04,28.81,1616.87,159.26,123.87,440.33,283.95,38.27,38.27,1339.51,180.54,180.54,112.35,11.11,8.64,485.06,47.78,37.16,132.1
Slide Mountain-14,Slide,2014,2,1532.75,358.08,358.08,5734.93,1339.79,1339.79,445.41,52.4,43.67,2524.45,298.69,248.91,489.08,438.75,102.5,102.5,1641.63,383.51,383.51,127.5,15,12.5,722.63,85.5,71.25,140
Slide Mountain-15,Slide,2015,2,727.79,111.31,111.31,2588.64,395.91,395.91,159.83,19.98,11.42,1080.26,135.85,77.63,311.09,329.03,50.32,50.32,1170.32,178.99,178.99,72.26,9.03,5.16,488.39,61.42,35.1,140.65
Slide Mountain-16,Slide,2016,2,3009.78,168.02,168.02,11546.02,644.56,644.56,1417.23,58.44,58.44,5473.13,227.93,227.93,1599.86,465.01,25.96,25.96,1783.86,99.58,99.58,218.96,9.03,9.03,845.6,35.21,35.21,247.18
Slide Mountain-17,Slide,2017,2,2481.62,179.45,179.45,8758.75,633.35,633.35,709.03,26.26,21.88,2786.24,102.42,85.35,1199.23,675,48.81,48.81,2382.38,172.27,172.27,192.86,7.14,5.95,757.86,27.86,23.21,326.19
Tisons-12,Tisons,2012,1,63.37,25.69,11.99,1507.26,611.05,285.16,63.37,25.69,11.99,1507.26,611.47,285.35,25.69,45.12,18.29,8.54,1073.17,435.07,203.03,45.12,18.29,8.54,1073.17,435.37,203.17,18.29
Tisons-13,Tisons,2013,1,99.42,29.68,19.29,1659.54,495.39,322,99.42,29.68,19.29,1659.54,495.61,322.15,41.55,82.72,24.69,16.05,1380.74,412.16,267.9,82.72,24.69,16.05,1380.74,412.35,268.02,34.57
Tisons-14,Tisons,2014,1,68.01,4.86,1.62,956.73,68.34,22.78,68.01,4.86,1.62,956.73,68.5,22.83,45.34,50.6,3.61,1.2,711.81,50.84,16.95,50.6,3.61,1.2,711.81,50.96,16.99,33.73
Tisons-15,Tisons,2015,2,95.42,8.18,4.09,1116.03,95.66,47.83,94.06,8.18,4.09,1103.63,95.7,47.85,61.34,81.4,6.98,3.49,951.98,81.6,40.8,80.23,6.98,3.49,941.4,81.63,40.81,52.33
Tisons-16,Tisons,2016,3,213.33,29.8,29.8,3256.94,455.01,455.01,203.92,34.51,32.94,3159.53,534.9,510.59,98.82,160,22.35,22.35,2442.71,341.26,341.26,152.94,25.88,24.71,2369.65,401.18,382.94,74.12
Tisons-17,Tisons,2017,3,265.37,29.82,29.82,3037.3,341.27,341.27,207.23,32.8,32.8,2684.72,426.38,426.38,125.23,217.07,24.39,24.39,2484.51,279.16,279.16,169.51,26.83,26.83,2196.1,348.78,348.78,102.44
Winnisook-14,Winnisook,2014,1,14.78,3.69,0,625.52,156.38,0,14.78,3.69,0,625.52,156.29,0,11.08,5.19,1.3,0,219.87,54.97,0,5.19,1.3,0,219.87,54.94,0,3.9
Winnisook-15,Winnisook,2015,1,22.51,0,0,1308.91,0,0,22.51,0,0,1308.91,0,0,22.51,8.08,0,0,469.9,0,0,8.08,0,0,469.9,0,0,8.08
Winnisook-16,Winnisook,2016,1,82.47,6.87,0,4475.6,372.97,0,82.47,6.87,0,4475.6,373.2,0,54.98,24,2,0,1302.4,108.53,0,24,2,0,1302.4,108.6,0,16
Winnisook-17,Winnisook,2017,1,33.97,0,0,1618.09,0,0,33.97,0,0,1618.09,0,0,28.31,12.2,0,0,580.89,0,0,12.2,0,0,580.89,0,0,10.16
