SITE-Yr,Site,year,Community density (No/0.1ha) by area,D-upper CI (add value) by area,D-lower CI (subtract value) by area,Community biomass (g/0.1ha) by area,B-upper CI (add value) by area,B-lower CI (subtract value) by area,ST Density (No/0.1 ha) by area,ST D-CI (add value for upper CI) by area,ST D-CI (subtract value for lower CI) by area,ST Biomass (g/0.1 ha) by area,ST B-CI (add value for upper CI) by area,ST B-CI (subtract value for lower CI) by area,First Pass All Species density (No/0.1ha) by area,First Pass All Species Biomass (g/0.1ha) by area,ST First Pass Density by Area (No/0.1ha),ST First Pass Biomass by Area (g/0.1ha),Community density (No./100 m) by length,D-upper CI (add value) by length,D-lower CI (subtract value) by length,Community biomass (g/100 m) by length,B-upper CI (add value) by length,B-lower CI (subtract value) by length,brook trout Density (No/100m) by length,brook trout D-CI (add value for upper CI) by length,brook trout D-CI (subtract value for lower CI) by length,brook trout Biomass (g/100m) by length,brook trout B-CI (add value for upper CI) by length,brook trout B-CI (subtract value for lower CI) by length,First Pass All Species density (No/100m) by length,First Pass All Species Biomass (g/100 m) by length,ST First Pass Density by Length (No/100 m),ST First Pass Biomass by Length (g/100 m),All fish density first pass CPUE (No/h),All fish biomass first pass CPUE (g/h),ST density first pass CPUE (No/h),ST biomass first pass CPUE (g/h),Community richness
DeerShanty-17,DeerShanty,2017,703.21,35.88,21.53,4794.06,244.59,146.76,509.47,21.53,7.18,3691.16,154.99,51.66,459.24,3592.14,373.13,2930.54,188.46,9.62,5.77,1284.81,65.55,39.33,136.54,5.77,1.92,989.23,41.54,13.85,123.08,962.69,100,785.3846154,244.5859873,1913.121019,198.7261146,1560.764331,2
Durgin-14,Durgin,2014,446.42,79.82,79.82,2203.55,394.01,394.01,183.3,252.77,104.95,1401.33,1921.06,797.63,168.51,503.92,28.09,228.97,274.55,49.09,49.09,1355.18,242.32,242.32,112.73,155.45,64.55,861.82,1181.45,490.55,103.64,309.91,17.27272727,140.8181818,197.1181556,589.4524496,32.85302594,267.8386167,7
Durgin-15,Durgin,2015,743.37,139.27,139.27,3043.82,570.25,570.25,122.99,23.51,16.28,688.92,131.67,91.16,249.6,816.44,59.69,363,370.27,69.37,69.37,1516.13,284.04,284.04,61.26,11.71,8.11,343.15,65.59,45.41,124.32,406.67,29.72972973,180.8108108,279.7297297,915,66.89189189,406.8243243,9
Durgin-16,Durgin,2016,596.31,109.75,109.75,2384.67,438.9,438.9,149.99,36.58,27.44,760.56,186.57,139.93,208.52,786.54,60.36,385.59,296.36,54.55,54.55,1185.18,218.13,218.13,74.55,18.18,13.64,378,92.73,69.55,103.64,390.91,30,191.6363636,214.5321485,809.2002091,62.1014114,396.6962886,9
Fly-14,Fly,2014,556.21,11.83,0,2383.43,50.71,0,224.85,11.83,0,990.53,52.07,0,473.37,2001.18,165.68,698.22,94,2,0,402.8,8.57,0,38,2,0,167.4,8.8,0,80,338.2,28,118,193.5483871,818.2258065,67.74193548,285.483871,2
Fly-15,Fly,2015,560.88,31.16,10.39,3085.87,171.44,57.15,363.53,31.16,10.39,1705.49,146.45,48.82,363.53,2347.38,218.12,1232.89,109.09,6.06,2.02,600.2,33.34,11.11,70.71,6.06,2.02,331.72,28.48,9.49,70.71,456.57,42.42424242,239.7979798,146.8531469,948.2517483,88.11188811,498.041958,2
Fly-16,Fly,2016,569.8,31.66,0,3018.36,167.69,0,474.83,31.66,0,2426.4,161.44,0,411.52,2676.48,316.56,2084.52,92.31,5.13,0,488.97,27.17,0,76.92,5.13,0,393.08,26.15,0,66.67,433.59,51.28205128,337.6923077,170.1818182,1106.836364,130.9090909,862.0363636,2
Moss-14,Moss,2014,1061.87,69.25,46.17,3469.53,226.27,150.85,380.89,23.08,0,2040.63,124.65,0,657.89,2412.28,265.47,1514.31,161.4,10.53,7.02,527.37,34.39,22.93,57.89,3.51,0,310.18,18.95,0,100,366.67,40.35087719,230.1754386,281.0958904,1030.684932,113.4246575,647.0136986,5
Moss-15,Moss,2015,342.23,7.13,0,2886.86,60.14,0,206.76,7.13,0,2084.05,72.01,0,263.8,2519.68,156.86,1871.58,66.67,1.39,0,562.36,11.72,0,40.28,1.39,0,405.97,14.03,0,51.39,490.83,30.55555556,364.5833333,129.69815,1238.7926,77.11781889,920.1557936,4
Moss-16,Moss,2016,575.06,14.94,0,2770.72,71.97,0,306.2,7.47,0,1536.97,37.34,0,470.5,2516.8,253.92,1421.21,118.46,3.08,0,570.77,14.83,0,63.08,1.54,0,316.62,7.69,0,96.92,518.46,52.30769231,292.7692308,227.9396985,1219.296482,123.0150754,688.5226131,4
NewHill-14,NewHill,2014,1478.6,306.54,306.54,4977.1,1031.84,1031.84,46.88,3.61,0,749.58,57.7,0,400.3,1419.81,30.65,533.02,1518.52,314.81,314.81,5111.48,1059.7,1059.7,48.15,3.7,0,769.81,59.26,0,411.11,1458.15,31.48148148,547.4074074,456.6857143,1619.794286,34.97142857,608.0914286,3
NewHill-15,NewHill,2015,2356.02,1185.98,1185.98,8401,4228.92,4228.92,55.79,7.97,3.19,679.87,97.24,38.89,365.04,1387.23,33.48,379.7,2239.39,1127.27,1127.27,7985.15,4019.59,4019.59,53.03,7.58,3.03,646.21,92.42,36.97,346.97,1318.56,31.81818182,360.9090909,410.1492537,1558.656716,37.6119403,426.6268657,3
NewHill-16,NewHill,2016,2065.18,258.85,258.85,4715.83,591.07,591.07,70.76,9.31,3.72,740.6,97.77,39.11,670.39,1513.22,42.83,342.27,2218,278,278,5064.8,634.81,634.81,76,10,4,795.4,105,42,720,1625.2,46,367.6,530.2782324,1196.95581,33.87888707,270.7364975,5
NewHill-17,NewHill,2017,2270.18,184.91,184.91,4185.93,340.95,340.95,45.06,9.32,3.11,564.83,116.54,38.85,786.25,1657.19,24.86,345.27,2356.45,191.94,191.94,4345,353.9,353.9,46.77,9.68,3.23,586.29,120.97,40.32,816.13,1720.16,25.80645161,358.3870968,889.453125,1874.707031,28.125,390.5859375,5
OasisCreek-14,Oasis,2014,1356.42,144.3,144.3,4696.25,499.6,499.6,353.54,50.51,28.86,2450.22,348.48,199.13,685.43,2544.01,187.59,1363.64,313.33,33.33,33.33,1084.83,115.41,115.41,81.67,11.67,6.67,566,80.5,46,158.33,587.67,43.33333333,315,348.9795918,1295.265306,95.51020408,694.2857143,2
OasisCreek-15,Oasis,2015,1893.94,193.6,193.6,5421.72,554.22,554.22,648.15,75.76,50.51,2612.79,303.03,202.02,959.6,3081.57,378.79,1644.78,416.67,42.59,42.59,1192.78,121.93,121.93,142.59,16.67,11.11,574.81,66.67,44.44,211.11,677.94,83.33333333,361.8518519,460.0896861,1477.493274,181.6143498,788.6098655,2
OasisCreek-16,Oasis,2016,1807.9,104.7,104.7,6084.74,352.4,352.4,439.76,13.96,0,2526.18,79.58,0,1054.03,3943.88,356,2148.54,446.55,25.86,25.86,1502.93,87.04,87.04,108.62,3.45,0,623.97,19.66,0,260.34,974.14,87.93103448,530.6896552,432.1144674,1616.852146,145.9459459,880.8267091,2
OasisCreek-17,Oasis,2017,2087.41,138.62,138.62,6254.08,415.31,415.31,603.39,24.46,8.15,3021.04,122.31,40.77,1231.25,4266.31,432.16,2667.16,457.14,30.36,30.36,1369.64,90.95,90.95,132.14,5.36,1.79,661.61,26.79,8.93,269.64,934.32,94.64285714,584.1071429,403.264095,1397.323442,141.5430267,873.5608309,2
Seventh-14,Seventh,2014,152.14,13.58,5.43,1806.13,161.26,64.5,70.64,5.43,0,1615.41,124.43,0,81.5,1118.51,43.47,1023.96,65.12,5.81,2.33,773.02,69.02,27.61,30.23,2.33,0,691.4,53.26,0,34.88,478.72,18.60465116,438.255814,83.07692308,1140.092308,44.30769231,1043.723077,4
Seventh-15,Seventh,2015,306.76,12.57,7.54,1323.09,54.23,32.54,70.4,5.03,0,882.06,62.86,0,201.15,1072.66,52.8,805.62,139.27,5.71,3.42,600.68,24.62,14.77,31.96,2.28,0,400.46,28.54,0,91.32,486.99,23.97260274,365.7534247,165.232358,881.1015491,43.37349398,661.7555938,3
Seventh-16,Seventh,2016,288.7,15.36,9.21,1209.77,64.35,38.61,141.28,6.14,0,820.64,35.63,0,193.49,954.85,110.57,742.94,106.82,5.68,3.41,447.61,23.81,14.29,52.27,2.27,0,303.64,13.18,0,71.59,353.3,40.90909091,274.8863636,121.9354839,601.7419355,69.67741935,468.1935484,4
Slide Mountain-12,Slide,2012,2426.74,76.31,76.31,14059.83,442.13,442.13,1243.89,30.53,22.89,7044.41,173.99,130.49,1617.83,10143.47,923.38,6072.95,407.69,12.82,12.82,2362.05,74.28,74.28,208.97,5.13,3.85,1183.46,29.23,21.92,271.79,1704.1,155.1282051,1020.25641,646.2320068,4051.752752,368.8399661,2425.808637,2
Slide Mountain-13,Slide,2013,946.5,127.57,127.57,4465.02,601.81,601.81,374.49,37.04,28.81,1616.87,159.26,123.87,440.33,1983.95,234.57,1029.22,283.95,38.27,38.27,1339.51,180.54,180.54,112.35,11.11,8.64,485.06,47.78,37.16,132.1,595.19,70.37037037,308.7654321,345.7809695,1557.953321,184.2010772,808.2226212,2
Slide Mountain-14,Slide,2014,1532.75,358.08,358.08,5734.93,1339.79,1339.79,445.41,52.4,43.67,2524.45,298.69,248.91,489.08,1975.11,231.44,1427.51,438.75,102.5,102.5,1641.63,383.51,383.51,127.5,15,12.5,722.63,85.5,71.25,140,565.38,66.25,408.625,353.9947322,1429.569798,167.5153644,1033.222125,2
Slide Mountain-15,Slide,2015,727.79,111.31,111.31,2588.64,395.91,395.91,159.83,19.98,11.42,1080.26,135.85,77.63,311.09,1193.14,91.33,610.2,329.03,50.32,50.32,1170.32,178.99,178.99,72.26,9.03,5.16,488.39,61.42,35.1,140.65,539.42,41.29032258,275.8709677,293.2735426,1124.798206,86.09865471,575.2466368,2
Slide Mountain-16,Slide,2016,3009.78,168.02,168.02,11546.02,644.56,644.56,1417.23,58.44,58.44,5473.13,227.93,227.93,1599.86,6419.16,898.55,3762.23,465.01,25.96,25.96,1783.86,99.58,99.58,218.96,9.03,9.03,845.6,35.21,35.21,247.18,991.76,138.8261851,581.2641084,415.3846154,1666.659642,233.2982086,976.8177028,2
Slide Mountain-17,Slide,2017,2481.62,179.45,179.45,8758.75,633.35,633.35,709.03,26.26,21.88,2786.24,102.42,85.35,1199.23,4435.84,490.2,2036.5,675,48.81,48.81,2382.38,172.27,172.27,192.86,7.14,5.95,757.86,27.86,23.21,326.19,1206.55,133.3333333,553.9285714,395.3507014,1462.364729,161.6032064,671.3747495,2
Tisons-12,Tisons,2012,63.37,25.69,11.99,1507.26,611.05,285.16,63.37,25.69,11.99,1507.26,611.47,285.35,25.69,760.48,25.69,760.48,45.12,18.29,8.54,1073.17,435.07,203.03,45.12,18.29,8.54,1073.17,435.37,203.17,18.29,541.46,18.29268293,541.4634146,48.51752022,1436.118598,48.51752022,1436.118598,1
Tisons-13,Tisons,2013,99.42,29.68,19.29,1659.54,495.39,322,99.42,29.68,19.29,1659.54,495.61,322.15,41.55,1009.91,41.55,1009.91,82.72,24.69,16.05,1380.74,412.16,267.9,82.72,24.69,16.05,1380.74,412.35,268.02,34.57,840.25,34.56790123,840.2469136,61.72688304,1500.404164,61.72688304,1500.404164,1
Tisons-14,Tisons,2014,68.01,4.86,1.62,956.73,68.34,22.78,68.01,4.86,1.62,956.73,68.5,22.83,45.34,768.4,45.34,768.4,50.6,3.61,1.2,711.81,50.84,16.95,50.6,3.61,1.2,711.81,50.96,16.99,33.73,571.69,33.73493976,571.686747,51.40234574,871.0861805,51.40234574,871.0861805,1
Tisons-15,Tisons,2015,95.42,8.18,4.09,1116.03,95.66,47.83,94.06,8.18,4.09,1103.63,95.7,47.85,61.34,682.41,59.98,670,81.4,6.98,3.49,951.98,81.6,40.8,80.23,6.98,3.49,941.4,81.63,40.81,52.33,582.09,51.1627907,571.5116279,73.80410023,821.0296128,72.16400911,806.1047836,2
Tisons-16,Tisons,2016,213.33,29.8,29.8,3256.94,455.01,455.01,203.92,34.51,32.94,3159.53,534.9,510.59,98.82,1476.55,89.41,1384.47,160,22.35,22.35,2442.71,341.26,341.26,152.94,25.88,24.71,2369.65,401.18,382.94,74.12,1107.41,67.05882353,1038.352941,100.1766784,1496.766784,90.6360424,1403.427562,3
Tisons-17,Tisons,2017,265.37,29.82,29.82,3037.3,341.27,341.27,207.23,32.8,32.8,2684.72,426.38,426.38,125.23,1575.23,87.96,1349.36,217.07,24.39,24.39,2484.51,279.16,279.16,169.51,26.83,26.83,2196.1,348.78,348.78,102.44,1288.54,71.95121951,1103.780488,117.2547499,1474.897247,82.35750291,1263.41993,3
Winnisook-14,Winnisook,2014,14.78,3.69,0,625.52,156.38,0,14.78,3.69,0,625.52,156.29,0,11.08,512.46,11.08,512.46,5.19,1.3,0,219.87,54.97,0,5.19,1.3,0,219.87,54.94,0,3.9,180.13,3.896103896,180.1298701,14.71389646,680.2724796,14.71389646,680.2724796,1
Winnisook-15,Winnisook,2015,22.51,0,0,1308.91,0,0,22.51,0,0,1308.91,0,0,22.51,1308.91,22.51,1308.91,8.08,0,0,469.9,0,0,8.08,0,0,469.9,0,0,8.08,469.9,8.080808081,469.8989899,34.28571429,1993.714286,34.28571429,1993.714286,1
Winnisook-16,Winnisook,2016,82.47,6.87,0,4475.6,372.97,0,82.47,6.87,0,4475.6,373.2,0,54.98,3324.4,54.98,3324.4,24,2,0,1302.4,108.53,0,24,2,0,1302.4,108.6,0,16,967.4,16,967.4,70.41564792,4257.506112,70.41564792,4257.506112,1
Winnisook-17,Winnisook,2017,33.97,0,0,1618.09,0,0,33.97,0,0,1618.09,0,0,28.31,1466.36,28.31,1466.36,12.2,0,0,580.89,0,0,12.2,0,0,580.89,0,0,10.16,526.42,10.16260163,526.4227642,29.03225806,1503.870968,29.03225806,1503.870968,1
